125.163.226.93 - - [10/Apr/2023:21:49:52 +0700] "GET /favicon.ico HTTP/2.0" 302 0 "https://157.245.62.201//" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
157.245.62.201 - - [10/Apr/2023:21:50:58 +0700] "POST /wp-cron.php?doing_wp_cron=1681138258.7079041004180908203125 HTTP/2.0" 200 20 "-" "WordPress/6.2; https://tokoyafi.my.id"
125.163.226.93 - - [10/Apr/2023:21:50:59 +0700] "GET // HTTP/2.0" 200 13585 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
2001:448a:4043:465b:9d0b:2a7a:65ad:c58e - - [10/Apr/2023:21:50:59 +0700] "GET /wp-content/themes/storefront/assets/fonts/fa-solid-900.woff2 HTTP/2.0" 304 0 "https://tokoyafi.my.id/wp-content/themes/storefront/assets/css/base/icons.css?ver=4.2.0" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
2001:448a:4043:465b:9d0b:2a7a:65ad:c58e - - [10/Apr/2023:21:50:59 +0700] "GET /wp-content/themes/storefront/assets/fonts/fa-solid-900.woff HTTP/2.0" 304 0 "https://tokoyafi.my.id/wp-content/themes/storefront/assets/css/base/icons.css?ver=4.2.0" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
2001:448a:4043:465b:9d0b:2a7a:65ad:c58e - - [10/Apr/2023:21:51:00 +0700] "GET /wp-content/themes/storefront/assets/fonts/fa-solid-900.ttf HTTP/2.0" 304 0 "https://tokoyafi.my.id/wp-content/themes/storefront/assets/css/base/icons.css?ver=4.2.0" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
125.163.226.93 - - [10/Apr/2023:21:51:00 +0700] "GET /favicon.ico HTTP/2.0" 302 0 "https://157.245.62.201//" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
125.163.226.93 - - [10/Apr/2023:21:51:03 +0700] "GET // HTTP/2.0" 200 13585 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
157.245.62.201 - - [10/Apr/2023:21:51:36 +0700] "POST / HTTP/2.0" 200 22 "-" "Cleantalk-Helper/1.0.0"
125.163.226.93 - - [10/Apr/2023:21:51:36 +0700] "GET // HTTP/2.0" 500 2726 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
157.245.62.201 - - [10/Apr/2023:21:51:38 +0700] "POST /wp-cron.php?doing_wp_cron=1681138298.2402210235595703125000 HTTP/2.0" 200 20 "-" "WordPress/6.2; https://tokoyafi.my.id"
125.163.226.93 - - [10/Apr/2023:21:51:38 +0700] "GET /favicon.ico HTTP/2.0" 302 0 "https://157.245.62.201//" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
125.163.226.93 - - [10/Apr/2023:21:51:42 +0700] "GET // HTTP/2.0" 200 13589 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
